horizon,horizon_seconds,feature_set,n_features,roc_auc_val,pr_auc_val,roc_auc_test,pr_auc_test,best_decision_threshold_by_val_f1,val_accuracy_at_best_threshold,val_precision_at_best_threshold,val_recall_at_best_threshold,val_f1_at_best_threshold,test_accuracy_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold
6min30s,390,local_depth+total_depth,9,0.9197523713914308,0.3797608873742192,0.9027627230125832,0.3039519834448163,0.7,0.9079401611047181,0.32794830371567046,0.7602996254681648,0.4582392776523702,0.8982015016588092,0.3497942386831276,0.7005494505494505,0.46660567246111617
8min,480,local_depth+total_depth+imbalance,12,0.9012750366235603,0.3965999541391469,0.8921621017845212,0.30380511752964295,0.8,0.9171950048030739,0.32323232323232326,0.625,0.42609853528628494,0.9027121609798775,0.33826247689463956,0.48031496062992124,0.3969631236442516
8min,480,local_depth+total_depth,9,0.9029759799959588,0.3990941336947629,0.8918358630368054,0.30343585795563577,0.7,0.9085494716618636,0.31543624161073824,0.734375,0.4413145539906103,0.8951881014873141,0.3473389355742297,0.6509186351706037,0.4529680365296804
7min30s,450,price+local_depth+total_depth+imbalance,18,0.9104496731847789,0.38874881111608406,0.8913230002093895,0.30291544235394785,0.8,0.9185867895545314,0.34637964774951074,0.6629213483146067,0.455012853470437,0.901031648889666,0.34686971235194586,0.5324675324675324,0.42008196721311475
6min,360,local_depth+total_depth+imbalance,12,0.9224154017461104,0.3647781556088503,0.9055237676056338,0.30249961966129607,0.7,0.8999424956871765,0.3063063063063063,0.7727272727272727,0.43870967741935485,0.8986215320188449,0.34646739130434784,0.7183098591549296,0.4674610449129239
6min,360,local_depth+total_depth,9,0.9227220723283716,0.3640070699006743,0.9049610160965795,0.30247981260318724,0.8,0.9175771516197048,0.33661417322834647,0.6477272727272727,0.4430051813471503,0.9082184610015704,0.3448275862068966,0.5352112676056338,0.4194260485651214
7min,420,price+local_depth+total_depth+imbalance,18,0.9152110720307625,0.37795366577662426,0.8967608977296067,0.302100154448402,0.8,0.9182498560736903,0.344294003868472,0.6716981132075471,0.45524296675191817,0.9019744889044208,0.34576271186440677,0.5382585751978892,0.42105263157894735
8min30s,510,price+local_depth+total_depth+imbalance,18,0.9007560519163076,0.38753951109428936,0.8877796873626378,0.3014417243452425,0.8,0.9161860822760477,0.3236434108527132,0.65748031496063,0.43376623376623374,0.9010681141656453,0.35034013605442177,0.5295629820051414,0.4216990788126919
7min30s,450,price+local_depth+total_depth,15,0.914959063768953,0.39627811104284477,0.8898392571058488,0.3011523456508819,0.8,0.9170506912442397,0.3385518590998043,0.6479400749063671,0.44473007712082263,0.9012065046336772,0.34429065743944637,0.5168831168831168,0.4132917964693666
6min30s,390,price+local_depth+total_depth+imbalance,18,0.9200377938734859,0.3752894269494853,0.9020378744879958,0.3003556306512933,0.8,0.9177215189873418,0.3448275862068966,0.6741573033707865,0.45627376425855515,0.9023921774052732,0.3350253807106599,0.5439560439560439,0.41465968586387436
8min,480,price+local_depth+total_depth+imbalance,18,0.9037763310769853,0.38010696336452593,0.8895831918647964,0.29949794651338263,0.8,0.915850144092219,0.3229571984435798,0.6484375,0.43116883116883115,0.9009623797025372,0.34295415959252973,0.5301837270341208,0.41649484536082476
8min30s,510,price+local_depth+total_depth,15,0.904616674835613,0.395464868646348,0.8859432012821589,0.2993939015493943,0.8,0.9152249134948097,0.3163064833005894,0.6338582677165354,0.42201834862385323,0.9019436175801085,0.3507853403141361,0.5167095115681234,0.4178794178794179
7min,420,price+local_depth+total_depth,15,0.9197170955756128,0.3843582551324031,0.8949809813091494,0.29907742093810663,0.8,0.917098445595855,0.33849129593810445,0.660377358490566,0.4475703324808184,0.9016250218416915,0.3408304498269896,0.5197889182058048,0.4117032392894462
6min30s,390,price+local_depth+total_depth,15,0.923542357983388,0.3805971037368744,0.9003919816897628,0.29860629171381564,0.8,0.9167625623321826,0.33911368015414256,0.6591760299625468,0.44783715012722647,0.9032652348524532,0.33620689655172414,0.5357142857142857,0.413135593220339
9min30s,570,price+local_depth+total_depth+imbalance,18,0.8997393976625181,0.41488893198281845,0.881439290722636,0.2983990376942021,0.8,0.9182063125481139,0.3405511811023622,0.6577946768060836,0.4487678339818418,0.8998772575837278,0.3530405405405405,0.5264483627204031,0.42264914054600605
9min,540,price+local_depth+total_depth,15,0.9029241728218298,0.4069310134115222,0.8816506592121631,0.29824582025699853,0.8,0.9151759953837276,0.3227722772277228,0.6221374045801527,0.42503259452411996,0.9034519011739969,0.3628472222222222,0.5318066157760815,0.43137254901960786
9min30s,570,price+local_depth+total_depth,15,0.9038091413534519,0.4228758220843282,0.8798252251858787,0.29817466482574284,0.8,0.9172440338722094,0.3333333333333333,0.6349809885931559,0.43717277486910994,0.9035595300718919,0.36649214659685864,0.5289672544080605,0.4329896907216495
9min,540,price+local_depth+total_depth+imbalance,18,0.8993478129778723,0.39635814744968545,0.882937767728627,0.2979961529463166,0.8,0.9153683400653972,0.3281853281853282,0.648854961832061,0.4358974358974359,0.9018748904853688,0.3572649572649573,0.5318066157760815,0.4274028629856851
8min,480,price+local_depth+total_depth,15,0.9073147668720952,0.3870220868667684,0.887858997940218,0.2972373634445881,0.8,0.9160422670509126,0.32220039292730845,0.640625,0.4287581699346405,0.9014873140857392,0.34146341463414637,0.5144356955380578,0.41047120418848165
6min,360,price+local_depth+total_depth,15,0.9272288297878849,0.36559916483614435,0.9024558811200537,0.29660759635518547,0.8,0.9164270653632356,0.33587786259541985,0.6666666666666666,0.4467005076142132,0.9050776478799512,0.34223706176961605,0.5774647887323944,0.429769392033543
6min,360,price+local_depth+total_depth+imbalance,18,0.9241651830234507,0.3610242245415177,0.9036898474178403,0.29634880067183067,0.8,0.9164270653632356,0.3389513108614232,0.6856060606060606,0.45363408521303256,0.903158262083406,0.33818770226537215,0.5887323943661972,0.4295991778006166
5min30s,330,local_depth+total_depth,9,0.9194796836228287,0.3473211454371695,0.9047648319982055,0.29279488902836054,0.8,0.9170498084291188,0.32938856015779094,0.6423076923076924,0.43546284224250326,0.9068875326939843,0.3285198555956679,0.5290697674418605,0.4053452115812918
5min30s,330,local_depth+total_depth+imbalance,12,0.9201341501240694,0.34731792748718204,0.9050829763645697,0.2904091791358954,0.7,0.9007662835249042,0.303951367781155,0.7692307692307693,0.4357298474945534,0.8990409764603313,0.3405698778833107,0.7296511627906976,0.46438482886216464
5min30s,330,price+local_depth+total_depth,15,0.9243377791563275,0.3505952541641556,0.9035283827913015,0.2895111660647937,0.8,0.9157088122605364,0.330188679245283,0.6730769230769231,0.4430379746835443,0.9054925893635571,0.3360927152317881,0.5901162790697675,0.4282700421940928
5min30s,330,price+local_depth+total_depth+imbalance,18,0.9227434863523574,0.34863270322176204,0.9047831657413519,0.2886386744005582,0.8,0.9153256704980843,0.3302238805970149,0.6807692307692308,0.44472361809045224,0.9040976460331299,0.3322475570032573,0.5930232558139535,0.42588726513569936
5min,300,local_depth+total_depth,9,0.9218729007120784,0.3472702804139157,0.9047806861361904,0.2804653734767937,0.8,0.9182462186482864,0.33725490196078434,0.6590038314176245,0.4461738002594034,0.9053842132775745,0.3063063063063063,0.5182926829268293,0.38505096262740657
5min,300,local_depth+total_depth+imbalance,12,0.9223910146230123,0.34745566544208084,0.9051565014356482,0.27824262714858283,0.8,0.9182462186482864,0.33661417322834647,0.6551724137931034,0.4447334200260078,0.9045129813556368,0.304270462633452,0.5213414634146342,0.3842696629213483
5min,300,price+local_depth+total_depth,15,0.9260788119980048,0.3497495432450046,0.9032712270848453,0.27583258920396175,0.8,0.9174803752632587,0.3390151515151515,0.685823754789272,0.45373891001267425,0.9039902422024743,0.3144758735440932,0.5762195121951219,0.4068891280947255
4min,240,local_depth+total_depth,9,0.9180410082707138,0.2985293442097768,0.9102975330048383,0.2751841522815783,0.8,0.9189137502390514,0.3207171314741036,0.6598360655737705,0.4316353887399464,0.9058639290064382,0.29326047358834245,0.5127388535031847,0.373117033603708
5min,300,price+local_depth+total_depth+imbalance,18,0.9241252677436642,0.3469795331506872,0.9047592753695048,0.274286702852603,0.8,0.9163316101857171,0.3352059925093633,0.685823754789272,0.45031446540880504,0.9020735319742116,0.31006493506493504,0.5823170731707317,0.4046610169491525
4min,240,local_depth+total_depth+imbalance,12,0.9196704868704475,0.2994950160002534,0.9103016362615346,0.27278644420830706,0.7,0.9072480397781603,0.30842607313195547,0.7950819672131147,0.4444444444444444,0.9009918218200801,0.32510288065843623,0.7547770700636943,0.45445829338446786
4min30s,270,local_depth+total_depth,9,0.921257320680045,0.3321583162202231,0.9067510399566955,0.2700986414318272,0.8,0.9194412552621508,0.33794466403162055,0.6653696498054474,0.44823066841415465,0.9057983632247955,0.2927272727272727,0.5143769968051118,0.373117033603708
4min30s,270,local_depth+total_depth+imbalance,12,0.9230497567408202,0.3347562599898953,0.9071428991697997,0.26796463245073043,0.7,0.9094910065059318,0.32636655948553056,0.7898832684824902,0.46188850967007966,0.8991816123977016,0.3173076923076923,0.7380191693290735,0.4438040345821326
3min30s,210,local_depth+total_depth,9,0.9145966078739187,0.28050346393699455,0.9140284398810251,0.2674507022577977,0.8,0.9166666666666666,0.298,0.6367521367521367,0.40599455040871935,0.9071465832029212,0.28014842300556586,0.5084175084175084,0.361244019138756
4min,240,price+local_depth+total_depth,15,0.9206521202953122,0.2979881681339902,0.9083953804363756,0.26713481353495455,0.8,0.9175750621533754,0.3225806451612903,0.6967213114754098,0.4409857328145266,0.9067339481468593,0.31561461794019935,0.6050955414012739,0.4148471615720524
4min,240,price+local_depth+total_depth+imbalance,18,0.920203232648766,0.29713569753269164,0.9092857871394557,0.26619985875253216,0.8,0.9160451329126028,0.31568998109640833,0.6844262295081968,0.4320827943078913,0.9072559596311118,0.32137030995106036,0.6273885350318471,0.4250269687162891
3min30s,210,local_depth+total_depth+imbalance,12,0.9167915029259567,0.2836689234359378,0.9141290672277104,0.265700801176837,0.7,0.9057721712538226,0.2934609250398724,0.7863247863247863,0.4274099883855981,0.9007129194922622,0.31077348066298344,0.7575757575757576,0.4407443682664055
4min30s,270,price+local_depth+total_depth,15,0.9250105518024985,0.33191775039981636,0.9054507263516496,0.26415579405427825,0.8,0.918867202449292,0.34215500945179583,0.7042801556420234,0.46055979643765904,0.904579488072436,0.30514096185737977,0.5878594249201278,0.4017467248908297
4min30s,270,price+local_depth+total_depth+imbalance,18,0.9239925671458765,0.3312386459054282,0.9062556263569449,0.26198722527391105,0.8,0.9173363949483353,0.3364485981308411,0.7003891050583657,0.45454545454545453,0.9049277381159673,0.309328968903437,0.6038338658146964,0.4090909090909091
3min30s,210,price+local_depth+total_depth,15,0.9178996384878737,0.28102088842041406,0.9114584297935966,0.25962941352962465,0.8,0.91532874617737,0.29942418426103645,0.6666666666666666,0.41324503311258276,0.9087115284298383,0.30677966101694915,0.6094276094276094,0.4081172491544532
3min30s,210,price+local_depth+total_depth+imbalance,18,0.9177773673571994,0.2823931998887758,0.9123504943086901,0.2596170286880115,0.8,0.9143730886850153,0.29734848484848486,0.6709401709401709,0.4120734908136483,0.9092331768388107,0.3102866779089376,0.6195286195286195,0.4134831460674157
2min30s,150,local_depth+total_depth,9,0.9236657572218481,0.27632902038092894,0.9198324671658891,0.25059534002919875,0.7,0.9083619702176403,0.2696817420435511,0.7853658536585366,0.4014962593516209,0.9025872547317243,0.28405797101449276,0.7452471482889734,0.41133263378803775
