source_file,dataset_name,task,model,horizon,requested_horizon_seconds,realized_horizon_mean_seconds,panel_median_seconds,classification_deadband,active_max_flat_seconds,n_rows_total,n_train_task,n_val_task,n_test_task,n_features,n_constant_dropped,constant_cols,cv_best_mae,train_mae,train_rmse,train_r2,train_sign_acc,train_corr,val_mae,val_rmse,val_r2,val_sign_acc,val_corr,test_mae,test_rmse,test_r2,test_sign_acc,test_corr,best_params,fit_seconds,error,is_best_for_horizon_regression,saved_model_path_regression,saved_pred_path_regression,cv_best_pr_auc,train_acc,train_bal_acc,train_f1,train_pr_auc,val_acc,val_bal_acc,val_f1,val_pr_auc,test_acc,test_bal_acc,test_f1,test_pr_auc,is_best_for_horizon_classification,saved_model_path_classification,saved_pred_path_classification
KXNBAGAME-26MAR07UTAMIL-UTA-features.parquet,KXNBAGAME-26MAR07UTAMIL-UTA,regression,hist_gbrt_reg,5s,5.0,5.0,0.1,0.0,30.0,113962,79773,17094,17095,21,0,[],0.0037579932176035878,0.001338696709732729,0.003032605966224067,0.42382129346786834,0.155917415666955,0.6882740404143135,0.008912347043653243,0.012828215676369934,-0.3758542921646568,0.24763074763074763,0.09983982297943897,0.010585994284068739,0.014974172012764205,-0.7438128296922202,0.19532026908452765,0.05685937140295944,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9852638244628906,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07UTAMIL-UTA-features.parquet,KXNBAGAME-26MAR07UTAMIL-UTA,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,66408,46485,9961,9962,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.0646641254425049,,,,,0.36569813827600006,0.853458104764978,0.6727012408989403,0.506448340820171,0.7520613994102597,0.673827928922799,0.5772448563196563,0.3376146788990826,0.2932495371498066,0.5850230877333868,0.5445028193074477,0.3542642924086223,0.2587374553361407,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07UTAMIL-UTA-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07UTAMIL-UTA-5s-classification-best-preds.parquet
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,regression,ridge_reg,5s,5.0,5.003741601260213,0.1,0.0,30.0,217741,152418,32661,32662,21,0,[],0.0012624121756632872,0.00075470584559882,0.002580704817957242,0.032301312751709554,0.03702974714272592,0.17972672782172397,0.004578459961947725,0.008807653031629017,0.034654650508474494,0.2598511986773216,0.21400229627297943,0.007701585905968812,0.013259260946036078,-0.08336893693031411,0.20638662666095156,0.010961042560932534,"{""model__alpha"": 10.0}",0.5097470283508301,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-MEM-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-MEM-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,classification,logreg_clf,5s,5.0,5.010856348792774,0.1,0.0,30.0,74841,52388,11226,11227,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.2948141098022461,,,,,0.38125530468655217,0.6832862487592578,0.6864489762064772,0.48963395878191324,0.4485847826398919,0.5501514341706752,0.6395266229265069,0.4997027937388548,0.35139641861942283,0.39396098690656456,0.5827986813496786,0.3422273781902552,0.20708575690390985,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-MEM-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-MEM-5s-classification-best-preds.parquet
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,regression,hist_gbrt_reg,5s,5.0,5.003741601260213,0.1,0.0,30.0,217741,152418,32661,32662,21,0,[],0.0007506299280156795,0.00045516369805124655,0.0018215604438191278,0.5178849818407705,0.04941017465128791,0.766999239506514,0.006436614342004109,0.009887426402305756,-0.21654685666853135,0.22164048865619546,0.13324611842844516,0.010856011532748603,0.015908364954858787,-0.5595124090751236,0.19980405364031598,-0.06849436734649356,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",1.0479328632354736,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,classification,hist_gb_clf,5s,5.0,5.010856348792774,0.1,0.0,30.0,74841,52388,11226,11227,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.1613478660583496,,,,,0.40879028944490364,0.850080171031534,0.6982714009850876,0.5560203504804975,0.7405141962111841,0.6325494388027793,0.539957562910064,0.3322000971345313,0.3312265397461527,0.6862029037142603,0.6430153951994367,0.3972626176218991,0.32409050193346955,0.0,,
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,regression,ridge_reg,5s,5.0,5.004834990169236,0.1,0.0,30.0,217684,152378,32652,32654,21,0,[],0.0019528125146942282,0.0007651359094182598,0.002632962242084116,0.043021645215200466,0.03665883526493326,0.20741795741574434,0.0050268953472573175,0.008797411324957746,0.0008066164285498445,0.20782800441014332,0.1424128350607316,0.010893354858688415,0.015404509379496908,-0.529741570179826,0.21789061064494397,-0.0104830128857801,"{""model__alpha"": 10.0}",0.4386909008026123,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-PHI-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-PHI-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,classification,logreg_clf,5s,5.0,5.014356840812986,0.1,0.0,30.0,73310,51317,10996,10997,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.30768895149230957,,,,,0.4074670195559338,0.6987353118849504,0.6920532232992389,0.47163362952836635,0.4060704985932161,0.6907057111676973,0.6500576831590131,0.516147389386826,0.4549292955836508,0.5073201782304265,0.5715168480848483,0.5220536344389556,0.4111641260779947,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-PHI-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-PHI-5s-classification-best-preds.parquet
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,regression,hist_gbrt_reg,5s,5.0,5.004834990169236,0.1,0.0,30.0,217684,152378,32652,32654,21,0,[],0.0007210924177864265,0.00048316251174580175,0.0021442231775936973,0.3653229056259465,0.04624683353239969,0.6743690346704321,0.006164313762925119,0.009699077127308595,-0.2145085578567656,0.22191596226877375,0.09954429378403748,0.0104974500578169,0.014632186872120841,-0.3801961281155053,0.22144300851350524,0.003215150924779687,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.882411003112793,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,classification,hist_gb_clf,5s,5.0,5.014356840812986,0.1,0.0,30.0,73310,51317,10996,10997,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.2974510192871094,,,,,0.3762284107245568,0.8594422900793109,0.6582621128672244,0.4778863554107854,0.7388893261140782,0.5536558748635868,0.6019464701070366,0.4939162713961642,0.3860865647512369,0.6647267436573611,0.5266164241844776,0.14155995343422584,0.5300688404091886,0.0,,
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,regression,ridge_reg,5s,5.0,5.000042374732428,0.1,0.0,30.0,686730,480710,103009,103011,21,0,[],0.00039682184909856696,5.234312631195405e-05,0.000414743381599703,0.01265698702320961,0.00412514821826049,0.11250327578414192,0.00035310559995707766,0.0005280338297898869,-0.9837428618325168,0.00011649467522255337,0.01456759513125658,0.005179232381046079,0.009282355087798625,-0.1656219499632572,0.17594237508615584,-0.00015238410407725027,"{""model__alpha"": 10.0}",1.5478088855743408,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,classification,logreg_clf,5s,5.0,5.000024120464491,0.1,0.0,30.0,87063,60944,13059,13060,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 1.0}",0.3913381099700928,,,,,0.3374689651109055,0.7211374376476766,0.7114970903593578,0.44495248048597275,0.3680412962030528,0.6525767669806264,0.6114703413556388,0.48166342968125214,0.4378525413011633,0.6344563552833078,0.595083199743099,0.38873239436619716,0.2987033420270375,0.0,,
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,regression,hist_gbrt_reg,5s,5.0,5.000042374732428,0.1,0.0,30.0,686730,480710,103009,103011,21,0,[],0.00011762080238468227,3.653908856146487e-05,0.0003984638207455724,0.08864638964215776,0.004749225104532878,0.3985244377259179,1.6724069050041612e-05,0.0003752759607164675,-0.001989966593945569,0.0,8.57871210849172e-17,0.003895800198102003,0.008597032940304915,0.00014150044345795365,0.1686615992466824,0.038486565488560096,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",2.748366117477417,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-CLE-5s-regression-hist_gbrt_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-CLE-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,classification,hist_gb_clf,5s,5.0,5.000024120464491,0.1,0.0,30.0,87063,60944,13059,13060,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.3123829364776611,,,,,0.3416870140052495,0.9133630874245209,0.7652059956764824,0.6693800876643707,0.8266418293299868,0.6611532276590857,0.5191065931673555,0.16994935284186832,0.45138224241357583,0.7356049004594181,0.5119567719841951,0.15595208995355658,0.25504557286549084,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-CLE-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-CLE-5s-classification-best-preds.parquet
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,regression,ridge_reg,5s,5.0,5.000056844697669,0.1,0.0,30.0,687839,481487,103175,103177,21,0,[],0.00018623577448905558,4.824275563912945e-05,0.0003730143880374898,0.00893624787670777,0.003921185826408605,0.09455526661717144,0.00013461112529661163,0.0008267343638967069,0.007396731246390287,0.009469348194814636,0.09480450466672562,0.004016084363905105,0.008827993322746735,0.0035472840136802075,0.21979704779165898,0.13683723378214355,"{""model__alpha"": 10.0}",1.411006212234497,,0.0,,,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,classification,logreg_clf,5s,5.0,5.000438498115916,0.1,0.0,30.0,89168,62417,13375,13376,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.39017415046691895,,,,,0.3579778207057376,0.7113767082685807,0.7082046679109786,0.4675002216901658,0.4050630014909451,0.30205607476635515,0.4645048664949455,0.41812628560743004,0.3655756753268014,0.6868271531100478,0.5383037490790922,0.2584528235085856,0.35315882358413375,0.0,,
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,regression,hist_gbrt_reg,5s,5.0,5.000056844697669,0.1,0.0,30.0,687839,481487,103175,103177,21,0,[],9.887739375266331e-05,2.943759158230613e-05,0.00036214074384105337,0.06587455304828171,0.004484025529245857,0.33427570532020445,9.544653714263161e-05,0.0008296640616848699,0.00034929178930054317,0.006881511994184638,0.020865212291427987,0.0041015738647307625,0.008845638480753365,-0.0004400632255561199,0.16895238279849192,0.053565261649721876,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",2.6868579387664795,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-ORL-5s-regression-hist_gbrt_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-ORL-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,classification,hist_gb_clf,5s,5.0,5.000438498115916,0.1,0.0,30.0,89168,62417,13375,13376,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",1.5107638835906982,,,,,0.320283454158181,0.8987935978980085,0.7539169262439507,0.6525111392265801,0.8142045401059933,0.6536822429906542,0.5841864723200316,0.41322523435520647,0.4520809909065348,0.7116477272727273,0.5158703475562914,0.10239702117756574,0.4548664373990957,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-ORL-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-ORL-5s-classification-best-preds.parquet
